year,artist,track,lyrics
1948,Margaret Whiting,A Tree In The Meadow,There's a tree in the meadow With a stream drifting by And carved upon that tree I see 'I love you till I die' Pd... I will always remember The love in your eye The day you carved upon that tree 'I love you till I die'. Pd... But further on down lovers' lane A silhouette I see I know you're kissing someone else I wish that it were me. Pd... By that tree in the meadow My thoughts always lie And wherever you go you'll always know I love you till I die 
1948,Peggy Lee,Manana,The faucet she is dripping and the fence she's fallin' down My pocket needs some money so I can't go into town My brother isn't working and my sister doesn't care The car she needs a motor so I can't go anywhere (mañana mañana mañana is good enough for me) My mother's always working she's working very hard But every time she looks for me I'm sleeping in the yard My mother thinks I'm lazy and maybe she is right I'll go to work mañana but I gotta sleep tonight (mañana mañana mañana is good enough for me). Oh once I had some money but I gave it to my friend He said he'd pay me double it was only for a lend But he said a little later that the horse she was so slow Why he give the horse my money is something I don't know (mañana mañana mañana is good enough for me) (mañana mañana mañana is good enough for me). My brother took a suitcase and he went away to school My father said he only learned to be a silly fool My father said that I should learn to make a chile pot But then I burned the house down the chile was too hot (mañana mañana mañana is soon enough for me) The window she is broken and the rain is comin' in If someone doesn't fix it I'll be soaking to my skin But if we wait a day or two the rain may go away And we don't need a window on such a sunny day (mañana mañana mañana is good enough for me) Oba! Oba! (mañana mañana mañana is good enough for me) Oba! Oba! 
1948,Bing Crosby,Now Is The Hour,Now is the hour When we must say goodbye. Soon you'll be sailing Far across the sea. While you're away Oh then remember me. When you return You'll find me waiting here.. Sunset glow fades in the west. Night o'er the valley is creeping. Birds cuddle down in their nest Soon all the world will be sleeping.. Now is the hour When we must goodbye. Soon you'll be sailing Far across the sea.. While you're away Oh then remember me. When you return You'll find me waiting here. 
1949,Vaughn Monroe,Riders In The Sky,An old cowpoke went riding out one dark and windy day Upon a ridge he rested as he went along his way When all at once a mighty herd of red-eyed cows he saw A'plowin' through the ragged skies and up a cloudy draw  Yi-pi-yi-ay Yi-pi-yi-o Ghost riders in the sky.  Their brands were still on fire and their hooves were made of steel Their horns wuz black and shiny and their hot breaths he could feel A bolt of fear went through him as they thundered through the sky For he saw the riders comin' hard and he heard their mournful cry.  Yi-pi-yi-ay Yi-pi-yi-o Ghost riders in the sky.  Their faces gaunt their eyes were blurred and shirts all soaked with sweat They're ridin' hard to catch that herd but they ain't caught them yet They've got to ride forever in that range up in the sky On horses snortin' fire as they ride on hear their cry.  Yi-pi-yi-ay Yi-pi-yi-o Ghost riders in the sky  As the riders loped on by him he heard one call his name 'If you want to save your soul from hell a' ridin' on our range' 'Then cowboy change your ways today or with us you will ride' 'A-tryin' to catch the Devil's herd across these endless skies.'.  Yi-pi-yi-ay Yi-pi-yi-o Ghost riders in the sky Ghost riders in the sky  
1949,Frankie Laine,That Lucky Old Sun,Up in the mornin' Out on the job Work like the devil for my pay But that lucky old sun got nothin' to do But roll around heaven all day Fuss with my woman toil for my kids Sweat till I'm wrinkled and gray While that lucky old sun got nothin' to do But roll around heaven all day. Dear Lord above can't you know I'm pining tears all in my eyes Send down that cloud with a silver lining lift me to Paradise. Show me that river take me across Wash all my troubles away Like that lucky old sun give me nothing to do But roll around heaven all day. Send down that cloud with a silver lining lift me to Paradise. Show me that river take me across Wash all my troubles away Like that lucky old sun give me nothing to do But roll around heaven all day 
1949,Vic Damone,You're Breaking My Heart,You're breaking my heart 'cause you're leaving You've fallen for somebody new It isn't too easy believing You'd leave after all we've been through It's breaking my heart to remember The dreams we depended upon You're leaving a slow dying ember I'll miss you my love when you're gone. * I wish you joy though teardrops burn But if some day you should want to return Please hurry back and we'll make a new start Till then you're breaking my heart 
1950,Gordon Jenkins And The Weavers,Goodnight Irene,Irene goodnight Irene goodnight Goodnight Irene Goodnight Irene I'll see you in my dreams Last Saturday night I got married Me and my wife settle down Now me and my wife are parted I'm gonna take another stroll down town. Irene goodnight Irene goodnight Goodnight Irene Goodnight Irene I'll see you in my dreams. Sometimes I live in the country Sometimes I live in town Sometimes I have take great notion To jump into the river and drown. Irene goodnight Irene goodnight Goodnight Irene Goodnight Irene I'll see you in my dreams. Stop rambling Stop your gambling Stop staying out late at night Go home to your wife and family Stay there by your fire site ..... Irene goodnight Irene goodnight Goodnight Irene Goodnight Irene I'll see you in my dreams. Goodnight Irene Goodnight Irene I'll see you in my dreams. Goodnight Irene Goodnight Irene I'll see you in my dreams 
1950,Nat King Cole,Mona Lisa,Mona Lisa Mona Lisa men have named you You're so like the lady with the mystic smile Is it only 'cause you're lonely they have blamed you? For that Mona Lisa strangeness in your smile? Do you smile to tempt a lover Mona Lisa? Or is this your way to hide a broken heart? Many dreams have been brought to your doorstep They just lie there and they die there Are you warm are you real Mona Lisa? Or just a cold and lonely lovely work of art?. Do you smile to tempt a lover Mona Lisa? Or is this your way to hide a broken heart? Many dreams have been brought to your doorstep They just lie there and they die there Are you warm are you real Mona Lisa? Or just a cold and lonely lovely work of art?. Mona Lisa Mona Lisa 
1950,Anton Karas,Third Man Theme,When a zither starts to play You'll remember yesterday In its haunting strain Vienna lives again Free and bright and gay In your mind a sudden gleam Of a half forgotten dream Seems to glimmer when you hear The Third Man Theme Once again there comes to mind Someone that you left behind Love that somehow didn't last In that happy city of the past Does she still recall the dream That rapture so supreme When first she heard the haunting Third Man Theme?. Carnivals and carousels and ferris wheels and parasols The Danube nights the dancing lights again will shine The zither's sweet refrain Keeps swirling in your brain Like new May wine Strauss waltzes candle-glow And the laughter of long ago Fill the magic chords and make it seem like today. You never knew that you could be Enchanted by a melody The years will never drive it out You don't know why It's something you can't live without You hear it in the twilight hush And in the morning traffic rush A song that's always new In your heart a part of you Oh shines so brightly when you hear The Third Man Theme. When a zither starts to play You'll remember yesterday In its haunting strain Vienna lives again Free and bright and gay In your mind a sudden gleam Of a well remembered dream Seems to glimmer when you hear The Third Man Theme. Once again there comes to mind Someone that you left behind Love that somehow didn't last In that happy city of the past Does she still recall the dream That rapture so supreme When first she heard the haunting Third Man Theme? Carnivals and carousels and ferris wheels and parasols The Danube nights the dancing lights again will shine The zither's sweet refrain Keeps swirling in your brain Like new May wine Strauss waltzes candle-glow And the laughter of long ago Fill the magic chords and make it seem like today. You never knew that you could be Enchanted by a melody The years will never drive it out You don't know why It's something you can't live without You hear it in the twilight hush And in the morning traffic rush A song that's always new In your heart a part of you Oh shines so brightly when you hear The Third Man Theme 
1951,Nat King Cole,Too Young,They try to tell us we're too young Too young to really be in love They say that love's a word A word we've only heard But can't begin to know the meaning of And yet we're not too young to know This love will last though years may go And then some day they may recall We were not too young at all. And yet we're not too young to know This love will last though years may go And then some day they may recall We were not too young at all 
