year,artist,track,lyrics
1991,Color Me Badd,I Wanna Sex You Up,Come inside take off your coat I'll make you feel at home Now let's pour a glass of wine cuz now we're all alone I've been waiting for you girl just let me hold you close to me Cuz I've been dying for you girl to make love to me Girl you make me feel real good We can do it til we both wake up Girl you know I'm hooked on you And this is what I'll do. I wanna sex you All night You make me feel good I wanna rub you down I wanna sex you up. Let me take off all your clothes Disconnect the phone so nobody knows Let me light a candle So we can make it better Makin love until we drown. Girl you know it feels real good We can do it til we both wake up Girl you know I'm hooked on you And this is what I'll do. I wanna sex you up Makin' love until we drown I wanna sex you up All I wanna do is I wanna sex you up All night Girl you make me feel good I wanna rub you down I wanna sex you up. Make sweet lovin all night long I wanna sex you up Feels so right it can't be wrong Don't be shy girl rescue me I wanna sex you up Open up your heart and I'll set you free. 
1991,C+C Music Factory,Gonna Make You Sweat,Everybody dance now (x2) Give me the music (x2) Everybody dance now (x2) Yeah yeah yeah Everybody dance now Yeah yeah yeah Everybody Here is the dome back with the bass The jam is live in effect and I don't waste time Off the mic with a dope rhyme jump to the rhythm Jump jump to the rhythm jump And I'm here to combine beats and lyrics To make you shake your pants take a chance Come on and dance guys grab a girl don't wait make the twirl It's your world and I'm just a squirrel Trying to get a nut to move your b___ to the dance floor So you what's up hands in the air come on say yeah Everybody over here everybody over there The crowd is live enough as I pursure this groove Party people in the house move. Left to right (groove) work me all night Come on let's sweat (sweat sweat) baby Let the music take control (control control) Let the rhythm move you Sweat (sweat sweat) sweat Let the music take your soul (soul soul) Let the rhythm move you Everybody dance now. Da da da da da da da da da da da da Da da da da da da da da Da da da da da da da da da da da da (x2) (Ooh) REPEAT. (Move) everybody dance now Everybody dance now. Pause take a breath and go for yours on my command Now hit the dance floor it's gonna make you sweat till you bleed Is that dope enough indeed I paid the price to control the dice I'm more precise to the point I'm nice Let the music take control of your heart and soul Unfold your body is free and behold Dance till you can't dance till you can't dance no more Get on the floor and get ablow Then come back and upside down easy now Let me see you move left to right groove Work me all night The music is my life Everybody dance now (x3) Everybody. Come on let's sweat (sweat sweat) baby Let the music take control (control control) Let the rhythm move you Sweat (sweat sweat) sweat Let the music take your soul (soul soul) Let the rhythm move you. 
1992,Boyz II Men,End Of The Road,Girl you know we belong together I don't have time for you to be playing with my heart like this You'll be mine forever baby You just wait We belong together And you know that I am right Why do you play with my heart Why do you play with my mind. Said we'd be forever Said it'd never die How could you love me and leave me and never Say goodbye. When I can't sleep at night Without holding you tight Girl each time I try I just break down and cry Pain in my head Oh I'd rather be dead Spinning around and around. [Chorus:Repeat x2] Although we've come To the end of the road Still I can't let go It's unnatural You belong to me I belong to you. Girl I know you really love me You just don't realize You've never been there before It's only Your first time. Maybe I'll forgive you Maybe you'll try We should be happy together forever You and I. Will you love me again Like you loved me before This time I want you to love me much more This time instead Just come to my bed And baby just don't let me go. [Chorus]. Girl I'm here for you All those time as night When you just hurt me And just ran out with that other fella Baby I knew about it I just didn't care You just don't understand how much I love Do you? I'm here for you I'm not about to go out on cheat you (Maybe I'll forgive you) Just like you did But baby that's alright I love you anyway (Maybe you will try) And I'm still going to be here with you until my dying day (We should be happy together forever) Right now I'm just in so much pain Cause you just won't come back to me (You and I) Will you? Just come back. (Lonely) Yes baby my heart is lonely (Lonely) My heart hurts (Lonely) Yes I feel pain too Baby please. This time instead just come to my bed And baby just don't let me go. 
1992,Sir Mix A Lot,Baby Got Back,Oh my god. Becky look at her b___. It is so big. *scoff* She looks like one of those rap guys' girlfriends. But why'know who understands those rap guys? *scoff* They only talk to her because she looks like a total prostitute 'kay? I mean her b___ is just so big. *scoff* I can't believe it's just so round it's like out there I mean - gross. Look! She's just so ... black!. [Sir Mix-a-Lot] I like big b___s and I can not lie You other brothers can't deny That when a girl walks in with an itty bitty waste And a round thing in your face You get sprung want to pull up tough 'Cause you notice that b___ was stuffed Deep in the jeans she's wearing I'm hooked and I can't stop staring Oh baby I want to get wit'cha And take your picture My homeboys tried to warn me But with that b___ you got makes <Me so h____> Ooh Rump-o'-smooth-skin You say you want to get in my Benz? Well use me use me 'Cause you ain't that average groupy I've seen them dancin' The hell with romancin' She's wet wet Got it goin' like a turbo 'Vette I'm tired of magazines Sayin' flat b___s are the thing Take the average black man and ask him that She gotta pack much back So fellas! (Yeah!) Fellas! (Yeah!) Has your girlfriend got the b___? (Hell yeah!) Tell 'em to shake it! (Shake it!) Shake it! (Shake it!) Shake that healthy b___! Baby got back!. (LA face with Oakland booty) Baby got back!. [Sir Mix-a-Lot] I like 'em round and big And when I'm throwin' a gig I just can't help myself I'm actin' like an animal Now here's my scandal I want to get you home And ugh double-up ugh ugh I ain't talkin' bout Playboy 'Cause silicone parts are made for toys I want 'em real thick and juicy So find that juicy double Mix-a-Lot's in trouble Beggin' for a piece of that bubble So I'm lookin' at rock videos Watchin' these bimbos walkin' like hoes You can have them bimbos I'll keep my women like Flo Jo A word to the thick soul sistas I want to get with ya I won't cuss or hit ya But I gotta be straight when I say I want to *f___* Til the break of dawn Baby got it goin' on A lot of simps won't like this song 'Cause them punks like to hit it and quit it And I'd rather stay and play 'Cause I'm long and I'm strong And I'm down to get the friction on So ladies! {Yeah!} Ladies! {Yeah} If you want to role in my Mercedes {Yeah!} Then turn around! Stick it out! Even white boys got to shout Baby got back! Baby got back! Yeah baby ... when it comes to females Cosmo ain't got nothin' to do with my selection. 36-24-36? Ha ha only if she's 5'3'.. [Sir Mix-a-Lot] So your girlfriend rolls a Honda playin' workout tapes by Fonda But Fonda ain't got a motor in the back of her Honda My anaconda don't want none Unless you've got buns hon You can do side bends or sit-ups But please don't lose that b___ Some brothers want to play that 'hard' role And tell you that the b___ ain't go So they toss it and leave it And I pull up quick to retrieve it So Cosmo says you're fat Well I ain't down with that! 'Cause your waste is small and your curves are kickin' And I'm thinkin' bout stickin' To the beanpole dames in the magazines: You ain't it Miss Thing! Give me a sista I can't resist her Red beans and rice didn't miss her Some knucklehead tried to dis 'Cause his girls are on my list He had game but he chose to hit 'em And I pull up quick to get wit 'em So ladies if the b___ is round And you want a triple X throw down Dial 1-900-MIXALOT And kick them nasty thoughts Baby got back!. (Little in the middle but she got much back). 
1992,Kris Kross,Jump,Jump Jump You should know you should know that ahhh Kris Kross is not having anything today As we stand there totally krossed out We commence to make you Jump Jump The Mac Dad will make you Jump Jump The Daddy Mac will make you Jump Jump Kris Kross will make you Jump Jump. Don't try to compare us to another bad little fad I'm the Mac and I'm bad give you something that you never had I'll make ya Jump Jump wiggle and shake your rump Cause I'll be kicking the flavor that makes you wanna Jump How high? Real high Cause I'm just so fly A young loveable hugable type of guy And everything is the back with a little slack Cause inside-out is wiggida wiggida wack I come stompin' with somethi' to keep you jumpin R&B abd bullcrap is what I'm dumpin' And ain't something about Kris Kross we all that So when they ask to the rocks they believe that. Jump Jump The Mac Dad will make you Jump Jump The Daddy Mac will make you Jump Jump Kris Kross will make you Jump Jump uh huh uh huh Jump Jump The Mac Dad will make you Jump Jump The Daddy Mac will make you Jump Jump Kris Kross will make you Jump Jump. I let myself knockin' knockin' I love it when a girl is play jockin' jockin' The D-A-double D-Y-M-A-C Ya you know me I got you jumpin' an' pumpin' an' movin' all around G In the mix I make ya six step back They try to step to the Mac then they got jacked To the back you'll be sportin' the gear that's coincidental And like you knowit so don't be claiming that it's mental. Two lil' kids with a flow you ain't ever heard And none faking you can understand every word As you listen to my cool school melody The Daddy makes you J-U-M-P. Jump Jump The Mac Dad will make you Jump Jump The Daddy Mac will make you Jump Jump Kris Kross will make you Jump Jump uh huh uh huh Jump Jump The Mac Dad will make you Jump Jump The Daddy Mac will make you Jump Jump Kris Kross will make you Jump Jump Now the formalities of this and that Is that Kris Kross ain't comin' off wack And for all ya'll suckers that don't know Check it out. Some of them try to rhyme but they can't rhyme like this Go Go Some of them try to rhyme but they can't rhyme like this Go Go Some of them try to rhyme but they can't rhyme like this Go Go Some of them try to rhyme but they can't Go Go Cause I'm the miggida miggida miggida Mac Daddy Miggida miggida miggida Mac Cause I'm the miggida miggida miggida Mac Daddy. I make you wanna Jump Jump The Mac Dad will make you Jump Jump The Daddy Mac will make you Jump Jump Kris Kross will make you Jump Jump uh huh uh huh (repeat 3 more times) Believe dat. 
1993,Whitney Houston,I Will Always Love You,If I Should stay I would only be in your way So I'll go But I know I'll think of you every step of the way And I... Will always Love you oohh Will always Love you You My darling you Mmm-mm. Bittersweet Memories That is all I'm taking with me So good-bye Please don't cry We both know I'm not what you You need. And I... Will always love you I... Will always love you You ooh. [Instrumental / Sax solo]. I hope life treats you kind And I hope you have all you've dreamed of And I wish you joy and happiness But above all this I wish you love And I... Will always love you I... Will always love you [Repeat]. I I will always love You.... You Darling I love you I'll always I'll always Love You.. Oooh Ooohhh. 
1993,Tag Team,Whoomp! (There It Is),Party people Yeah Tag Team music comin' straight atacha That's me DC the Brain Supreme And my man Steve Roll'n We're kicking the flow we're kickin' And it goes a little somethin' like this Tag Team back again check it top Wreck it - let's begin Party people let me hear some noise DC's in the house jump jump and rejoice There's a party over here a party over there Wave your hands in the air Shake the deriere These three words mean you're gettin' busy Whoomp there it is whoomp there it is. Upside down and inside out I'm about to show all you folks What's it's all about Now it's time to get on the mic And make this party hype I'm talking it back to the old school 'Cause I'm an old fool who's so cool If you want to get down I'm gonna show you the way whoomp there it is Let me hear you say whoomp there it is. Whoomp chak a laka chack a laka chak a laka chak a Point blank gin and juice I drank Gettin' bent and bent and as I puff on a dankt Rock the mic uh oh I see rave skin Rip skit find a honeydip to dip it in Slam dunk it stick it flip it and ride That is double O D D Y oh my Ooh that it come on come on Whoomp there it is I'm done. üHey some say I'm crazy 'Cause I'm pushin' up daises The underground sound that you have found Amazing outstanding demanding Commanding you people dancin' That's a breath taker I produce AKA the undertaker You want to come down to the underground Old school - here's a shovel can dig it fol Can you dig it we can dig it Can y'll dig it we can dig it Why double omp as I flow To the fly from the school of old Hardcore kick the folk lore wreck Three to the two and one mic-check Mad skill flow ill on the mesh of steel That's the grill of the microphone I just killed Party people it's your party Tag Team is through Whoomp there it is I thought you knew Whoomp there it is Yeha Tag Team comin' straight atcha That's me DC the brain supreme And my man Steve Roll'n Bring it back ya'll bring it back ya'll bring it back Here we go. Whoomp there it is. 
1993,UB40,Can't Help Falling In Love,Wise men say only fools rush in. But I can't help falling in love with you. As the river flows Gently to the sea Darling so we go Some things were meant to be Take my hand Take my whole life too Cause I can't help falling in love with you. As the river flows Gently to the sea Darling so we go Some things were meant to be. Take my hand Take my whole life too Cause I can't help falling in love with you. 
1994,Ace Of Base,The Sign,I I got a new life you would hardly recognize me I'm so glad How can a person like me care for you? I why do I bother when you're not the one for me? Oo-hoo-hoo-oo-oo Is enough enough? I saw the sign and it opened up my eyes I saw the sign Life is demanding without understanding I saw the sign and it opened up my eyes I saw the sign No one's gonna drag you up to get into the light where you belong But where do you belong?. I under the pale moon for so many years I wondered who you are How could a person like you bring me joy? Under the pale moon where I see a lot of stars Oo-hoo-hoo-oo-oo Is enough enough?. I saw the sign and it opened up my eyes I saw the sign Life is demanding without understanding I saw the sign and it opened up my eyes I saw the sign No one's gonna drag you up to get into the light where you belong But where do you belong? I saw the sign and it opened up my mind And I am happy now living without you I've left you Oh oh-oh-oh I saw the sign and it opened up my eyes I saw the sign No one's gonna drag you up to get into the light where you belong. (I saw the sign I saw the si-ee-ign) I saw the sign (I saw the sign I saw the si-ee-i-ee-ign) (I saw the sign I saw the sign) I saw the sign and it opened up my eyes I saw the sign. 
1994,All-4-One,I Swear,I swear by the moon and the stars in the sky And I swear like the shadow that's by your side. I see the questions in your eyes I know what's weighing on your mind You can be sure I know my heart Coz I'll stand beside you through the years You'll only cry those happy tears And though I make mistakes I'll never break your heart. And I swear by the moon and the stars in the sky I'll be there I swear like a shadow that's by your side I'll be there. For better or worse till death do us part I'll love you with every beat of my heart And I swear. I'll give you every thing I can I'll build your dreams with these two hands We'll hang some memories on the walls. And when just the two of us are there You won't have to ask if I still care Coz as the time turns the page my love won't age at all. And I swear by the moon and the stars in the sky I swear (and I swear) like the shadow that's by your side I'll be there For better or worse till death do us part I'll love you with every beat of my heart And I swear. I swear (I swear) by the moon and stars in the sky I'll be there I swear like the shadow that's by your side I'll be there. For better or worse till death do us part I'll love you with every (single) beat of my heart I swear I swear oh I swear. 
1994,Boys II Men,I'll Make Love To You,Close your eyes make a wish And blow out the candlelight For tonight is just your night We're gonna celebrate all through the night Pour the wine light the fire Girl your wish is my command I submit to your demands I'll do anything girl you need only ask. [Chorus] I'll make love to you Like you want me to And I'll hold you tight Baby all through the night I'll make love to you When you want me to And I will not let go Till you tell me to. Girl relax let's go slow I ain't got nowhere to go I'm just gonna concentrate on you Girl are you ready it's gonna be a long night. Throw your clothes on the floor I'm gonna take my clothes off too I made plans to be with you Girl whatever you ask me you know I'll do [Chorus]. Baby tonight is your night And I will do you right Just make a wish on your night Anything that you ask I will give you the love of your life. 
1995,Coolio,Gangsta's Paradise,As I walk through the valley of the shadow of death I take a look at my life and realize there's not much left 'cause I've been blastin' and laughin' so long That even my mama thinks that my mind is gone But I ain't never crossed a man that didn't deserve it He be treated like a punk you know that son heard up You better watch how you talkin' and where you walkin' Or you and your homiez might be lined in chalk I really hate to trip but I gotta Loc As they cope I see myself in the pistol smoke fool I'm the kinda G the little homiez wannabe like On my knees in the night Saying prayers in the street light. [Chorus] We've been spending most our lives living in the Gangstas Paradise. They got the situation They got me facin' I can't live with no more rights I was raised by the stripes So I gotta be down with the hood team Too much television watchin' got me chasin' dreams I'm an educated fool with money on my mind Got my 10 in my hand and the green in my eye I'm a loced-out gangsta set-trippin' banger And my homiez is so don't arouse my anger fool Death ain't nothin' but a heartbeat away I'm livin' life doin' time what can I say? I'm 23 now how will I live to see 24 The way things is goin' I dunno. [Chorus] Tell me why are we so blind to see That the ones we hurt are you and me We've been spending most our lives living in the Gangstas Paradise. Power and the money money and the power Minute after minute hour after hour Everybodys runnin' but half of them ain't lookin' At what's goin' on in the kitchen But I don't know what's kickin' They say I gotta learn but nobodys here to teach me If they can't understand it how can they reach me? I guess they can't I guess they won't I guess they front that's why I know my life is outta luck fool [Chorus] We've been spending most our lives living in the Gangstas Paradise. Tell me why are we so blind to see That the ones we hurt are you and me. Tell me why are we so blind to see That the ones we hurt are you and me.  
1995,TLC,Waterfall's,A lonely mother gazing out of her window staring at a son that she just can't touch. If at any time he's in a jam she'll be by his side but he doesn't realize he hurts her so much. But all the praying just ain't helping at all 'cause he can't seem to keep his self out of trouble. So he goes out and he makes his money the best way he know how another body laying cold in the gutter. Listen to me.. Don't go chasing waterfalls. Please stick to the rivers and the lakes that you're used to. I know that you're gonna have it your way or nothing at all but I think you're moving too fast.. Little precious has a nat'ral obsession for temptation but he just can't see. She give him loving that his body can't handle but all he can say is 'Baby it's good to me.' One day he goes and takes a glimpse in the mirror but he doesn't recognize his own face. His health is fading and he doesn't know why. Three letters took him to his final resting place. Y'all don't hear me.. Don't go chasing waterfalls. Please stick to the rivers and the lakes that you're used to. I know that you're gonna have it your way or nothing at all but I think you're moving too fast.. I seen rainbow yesterday But too many storms have come and gone Leavin' a trace of not on God-given ray Is it because my life is ten shades of gray I pray all ten fade away Seldom praise Him for the sunny days And like His promise is true Only my faith can undo The many chances I blew To bring my life to anew Clear blue and unconditional skies Have dried the tears from my eyes No more lonely cries My only bleedin' hope Is for the folk who can't cope Wit such an endurin' pain That it keeps 'em in the pourin' rain Who's to blame For tootin' caine in your own vein What a shame You shoot and aim for someone else's brain You claim the insane And name this day in time For fallin prey to crime I say the system got you victim to your own mind Dreams are hopeless aspirations In hopes of comin' true Believe in yourself The rest is up to me and you Don't go chasing waterfalls. Please stick to the rivers and the lakes that you're used to. I know that you're gonna have it your way or nothing at all but I think you're moving too fast.. Don't go chasing waterfalls. Please stick to the rivers and the lakes that you're used to. I know that you're gonna have it your way or nothing at all but I think you're moving too fast.. Don't go chasing waterfalls. Please stick to the rivers and the lakes that you're used to. I know that you're gonna have it your way or nothing at all.  
1995,TLC,Creep,Oh oh oh Yeah. Oh oh oh Yeah.. Oh oh oh Yeah. Oh oh oh Yeah. The twenty second of loneliness and we've been through so many things. I love my man with all honesty but I know he's cheating on me. I look him in the eyes but all he tells me is lies to keep me near.. I'll never leave him down though I might mess around. It's only 'cause I need some affection oh. So I creep yeah just creepin' on but I'll know 'cept nobody is supposed to know. So I creep yeah 'cause he doesn't know what I do and no attention goes to show oh.. So I creep. The twenty third of loneliness and we don't talk like we used to do. Now this is pretty strange but I'm not buggin' 'cause I still feel the same. I Keep giving loving till the day he pushes me away. Never go a stray.. If he knew the things I did he couldn't handle me. And I choose to keep him protected Oh. So I creep yeah just creepin' on but I'll know. 'cept nobody is supposed to know. So I creep yeah 'cause he doesn't know what I do and no attention goes to show oh. So I creep yeah just creepin' on but I'll know. 'cept nobody is supposed to know. So I creep yeah 'cause he doesn't know what I do and no attention goes to show.. So I creep yeah just creepin' on but I'll know. 'cept nobody is supposed to know. So I creep yeah 'cause he doesn't know what I do and no attention goes to show.
1996,Los Del Rio,Macarena,I am not trying to seduce you. When I dance they call me Macarena And the boys they say que soy buena They all want me They can't have me So they all come and dance beside me Move with me Chant with me And if your good I'll take you home with me. Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria Macarena Hey Macarena. Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria Macarena Hey Macarena. But don't worry about my boyfriend He's a boy who's name is Vitorino I don't want him Couldn't stand him He was no good so I .... Now come on what was I supposed to do? He was out of town and his two friends were sooo fine. Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria Macarena Hey Macarena. Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria Macarena Hey Macarena. I am not trying to seduce you. Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria Macarena Hey Macarena. Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria Macarena Hey Macarena. Come and find me my name is Macarena Always at the party con las chicas que soy buena Come join me Dance with me And you fellows chant along with me. Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria Macarena Hey Macarena. Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria Macarena Hey Macarena. Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria Macarena Hey Macarena. Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria Macarena Hey Macarena. Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria Macarena Hey Macarena.
1996,Mariah Carey and Boys II Men,One Sweet Day,Sorry I never told you All I wanted to say Now it's too late to hold you Cause you've flown away So far away Never had I imagined Living without your smile Feeling and knowing you hear me It keeps me alive Alive. [Chorus] And I know you're shining down on me from heaven Like many friends we've lost along the way And I know eventually we'll be together One sweet day. Darling I never showed you a__umed you'd always be there Took your presence for granted But I always cared And I miss the love we shared. [Chorus] Although the sun will never shine the same I'll always look to a brighter day. Lord I know when I lay me down to sleep You will always listen as I pray. [Chorus: x2]. Sorry I never told you Together All I wanted to say.  
1996,Celine Dion,Because You Loved Me,For all those times you stood by me For all the truth that you made me see For all the joy you brought to my life For all the wrong that you made right For every dream you made come true For all the love I found in you I'll be forever thankful baby You're the one who held me up Never let me fall You're the one who saw me through through it all. You were my strength when I was weak You were my voice when I couldn't speak You were my eyes when I couldn't see You saw the best there was in me Lifted me up when I couldn't reach You gave me faith 'cause you believed I'm everything I am Because you loved me. You gave me wings and made me fly You touched my hand I could touch the sky I lost my faith you gave it back to me You said no star was out of reach You stood by me and I stood tall I had your love I had it all I'm greatful for each day you gave me Maybe I don't know that much But I know this much is true I was blessed because I was loved by you. You were my strength when I was weak You were my voice when I couldn't speak You were my eyes when I couldn't see You saw the best there was in me Lifted me up when I couldn't reach You gave me faith 'cause you believed I'm everything I am Because you loved me. You were always there for me The tender wind that carried me The light in the dark shining your love into my life You've been my inspiration Through the lies you were the truth My world is a better place because of you You were my strength when I was weak You were my voice when I couldn't speak You were my eyes when I couldn't see You saw the best there was in me Lifted me up when I couldn't reach You gave me faith 'cause you believed I'm everything I am Because you loved me. You were my strength when I was weak You were my voice when I couldn't speak You were my eyes when I couldn't see You saw the best there was in me Lifted me up when I couldn't reach You gave me faith 'cause you believed I'm everything I am Because you loved me. I'm everything I am Because you loved me.  
1997,Elton John,Candle In THe Wind 1997,Goodbye England's rose May you ever grow in our hearts You were the grace that placed itself Where lives were torn apart You called out to our country And you whispered to those in pain Now you belong to heaven And the stars spell out your name And it seems to me you lived your life Like a candle in the wind Never fading with the sunset When the rain set in And your footsteps will always fall here Along England's greenest hills Your candle's burned out long before Your legend ever will. Loveliness we've lost These empty days without your smile This torch we'll always carry For our nation's golden child And even though we try The truth brings us to tears All our words cannot express The joy you brought us through the years. And it seems to me you lived your life Like a candle in the wind Never fading with the sunset When the rain set in And your footsteps will always fall here Along England's greenest hills Your candle's burned our long before Your legend ever will Goodbye England's rose May you ever grow in our hearts You were the grace that placed itself Where lives were torn apart Goodbye England's rose From a country lost without your soul Who'll miss the wings of your compassion More than you'll ever know. And it seems to me you lived your life Like a candle in the wind Never fading with the sunset When the rain set in And you footsteps will always fall here Along England's greenest hills Your candle's burned out long before Your legend ever will.  
1997,Jewel,Foolish Games / You Were Meant For Me,You took your coat off and stood in the rain You were always crazy like that I watched from my window Always felt I was outside looking in on you You were always the mysterious one With dark eyes and careless hair You were fashionably sensitive but too cool to care Then you stood in my doorway with nothing to say Besides some comment on the weather Well in case you failed to notice In case you failed to see This is my heart bleeding before you This is me down on my knees. [Chorus] These foolish games are tearing me apart You thoughtless words are breaking my heart You're breaking my heart. You were always brilliant in the morning Smoking your cigarettes talking over coffee You philosophies on art Baroque moved you You loved Mozart and you'd speak of your loved ones As I clumsily strummed my guitar You'd teach me of honest things Things that were daring things that were clean Things that knew what an honest dollar did mean So I hid my soiled hands behind my back Somewhere along the line I must've gone off track with you Excuse me think I've mistaken you for somebody else Somebody who gave a d___ Somebody more like myself [Chorus]. You took off your coat and stood in the rain You were always like that. I hear the clock it's 6 a.m. I feel so far away from where I've been I got my eggs and my pancakes too I got my maple syrup everything but you I break the yolks and make a smiley face I kinda like it in my brand new place I wipe the spots off of the mirror Don't leave the keys in the door I never put wet towels on the floor anymore 'cause. [Chorus] Dreams last so long even after you're gone I know you love me And soon you will see you were meant for me And I was meant for you. I called my momma she was out for a walk Consoled a cup of coffee but it didn't want to talk So I picked up a paper it was more bad news More hearts being broken or people being used Put on my coat in the pouring rain I saw a movie it just wasn't the same Cause it was happy and I was sad It made me miss you oh so bad. [Chorus]. I go about my business I'm doing fine Besides what would I say if I had you on the line Same old story not much to say Hearts are broken every day I brush my teeth and put the cap back on I know you hate it when I leave the light on I pick up a book and turn the sheets down And take a deep breath and a good look around. Put on my pj's and hop into bed I'm half alive but I feel mostly dead I try and tell myself it'll be all right I just shouldn't think anymore tonight. [Chorus]. You were meant for me and I was meant for you.  
1997,Puff Daddy and Faith Evans,I'll Be Missing You,Every day I wake up I hope I'm dreamin I can't believe this shit Can't believe you ain't here Sometimes it's just hard for a nigga to wake up It's hard to just keep goin It's like I feel empty inside without you bein here I would do anything man to bring you back I'd give all this shit shit the whole knot I saw your son today He look just like you You was the greatest You'll always be the greatest I miss you Big Can't wait til that day when I see your face again I can't wait til that day when I see your face again.... Yeah... this right here (tell me why) Goes out to everyone that has lost someone That they truly loved (c'mon check it out). . Seems like yesterday we used to rock the show I laced the track you locked the flow So far from hangin on the block for dough Notorious they got to know that Life ain't always what it seem to be (uh-uh) Words can't express what you mean to me Even though you're gone we still a team Through your family I'll fulfill your dream (that's right) In the future can't wait to see If you open up the gates for me Reminisce some time the night they took my friend (uh-huh) Try to black it out but it plays again When it's real feelings hard to conceal Can't imagine all the pain I feel Give anything to hear half your breath (half your breath) I know you still living your life after death. . Every step I take every move I make Every single day every time I pray I'll be missing you Thinkin of the day when you went away What a life to take what a bond to break I'll be missing you. I miss you Big.  It's kinda hard with you not around (yeah) Know you in heaven smilin down (eheh) Watchin us while we pray for you Every day we pray for you Til the day we meet again In my heart is where I'll keep you friend Memories give me the strength I need (uh-huh) to proceed Strength I need to believe My thoughts Big I just can't define (can't define) Wish I could turn back the hands of time Us in the 6 shop for new clothes and kicks You and me taking flicks Makin hits stages they receive you on I still can't believe you're gone (can't believe you're gone) Give anything to hear half your breath (half your breath) I know you still living you're life after death Somebody tell me why.  On that morning When this life is over I know I'll see your face.  Every night I pray every step I take Every move I make every single day Every night I pray every step I take Every day that passes Every move I make every single day Is a day that I get closer To seeing you again Every night I pray every step I take We miss you Big... and we won't stop Every move I make every single day Cause we can't stop... that's right Every night I pray every step I take Every move I make every single day We miss you Big.  
1998,Next,Too Close,I wonder if she could tell I'm hard right now hmmm Yeah come on dance for me baby ha ha yeah Oh oh you feel that?Â  Alright Come on don't stop now You done did it come on uh yeah alright hold on Baby when we're grinding I get so excited Ooh how I like it I try but I can't fight it Oh your dancing real close Plus it's real real slow (You know what you're doing don't you) You're making it hard for me. All the slow songs you requested You're dancing like you're naked Oh it's almost like we're s__ing (oh yeah) Yeah boo I like it No I can't deny it But I know you can tell I'm excited oh girl. Step back you're dancing kinda close I feel a little poke coming through On you. Now girl I know you felt it Boo you know I can't help it You know what I want to do. [Chorus] Baby when we're grinding I get so excited Ooh how I like it I try but I can't fight it Oh your dancing real close Plus it's real real slow (You know what you're doing don't you) You're making it hard for me. Baby girl's dancing so close Ain't a good idea 'cause I'mma want you now and here The way that you shake it on me Makes me want you so bad s__ually Oh girl Step back you're dancing kinda close I feel a little poke coming through On you. [Chorus: x2]. I love when you shake it like that ah ah ah I see that you like it like that oh oh oh I love when you shake it like that ah ah ah I see that you like it like that oh oh oh. Well baby I like the way that you grind On me. [Chorus]. I like the way you move You're making me want you Oh the way I like those things you do But you're a little too close. 
1998,Brandy and Monica,The Boy Is Mine,You need to give it up Had about enough It's not hard to see The boy is mine I think it's time we got this straight Let's sit and talk face to face There is no way you could mistake Him for your man are you insane. You see I know that you may be Just be jealous of me Cuz you're blind if you can't see That his love is all in me. You see I tried to hesitate I didn't wanna say what they told me He said without me he couldn't make It through the day ain't that a shame. Maybe you misunderstood Cause I can't see how he could Wanna change something that's so good But my love is all it took. You need to give it up Had about enough It's not hard to see The boy is mine I'm sorry that you Seem to be confused He belongs to me The boy is mine. Must you do the things you do You keep on acting like a fool You need to know it's me not you And if you didn't know it girl it's true. I think that you should realize And try to understand why He is a part of my life I know it's killing you inside. You can say what you want to say What we have you can't take from the truth you can't escape I can tell the real from the fake. When will you get the picture You're the past I'm the future Get away it's my time to shine And if you didn't know the boy is mine. You need to give it up Had about enough It's not hard to see The boy is mine I'm sorry that you Seem to be confused He belongs to me The boy is mine. You can't destroy this love I found Your silly games I won't allow The boy is mine without a doubt You might as well throw in the towel. What makes you think that he wants you When I'm the one that brought him to This special place in my heart Cause he was my love right from the start You need to give it up Had about enough It's not hard to see The boy is mine. You need to give it up Had about enough It's not hard to see The boy is mine I'm sorry that you Seem to be confused He belongs to me The boy is mine. Not yours. But mine. Not yours. But mine. Not yours. But mine. I'm sorry that you Seem to be confused He belongs to me The boy is mine.  
